Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Happy Goat Coffee (Westboro),https://maps.app.goo.gl/3F91S9rNAYU8naZcA,8AM,5:00PM,☕️☕️☕️☕️☕️,💪💪💪💪💪,🔌🔌🔌🔌
The Art House Cafe,https://maps.app.goo.gl/JysjzoBixAPeopMr5,10AM,10PM,☕️☕️☕️☕️☕️,💪💪💪💪,🔌🔌🔌
Figaro Coffee House,https://maps.app.goo.gl/aU2FH7cEPJemoWUD9,7AM,9PM,☕️☕️☕️☕️,💪💪💪💪,🔌🔌🔌
Planet Coffee,https://maps.app.goo.gl/aLzoa4XcXsoWXzuz5,8AM,7PM,☕️☕️☕️☕️,💪💪💪💪,🔌🔌🔌
Equator Coffee,https://maps.app.goo.gl/WhtMRW8MqpUEgXmi9,8AM,4PM,☕️☕️☕️☕️☕️,💪💪💪💪💪,🔌🔌🔌🔌🔌
Mantovani 1946,https://maps.app.goo.gl/QCE32eCFnNgnnKGM6,12PM,6PM,☕️☕️☕️☕️☕️,💪💪💪💪💪,🔌🔌🔌🔌
